log_id,user_id,operation,target_id,details,created_at
LOG001,test_user,PLAN_CHANGE,test_user,"Basic -> Standard, amount=354.84",2025-12-20T09:33:13.708117
LOG002,test_user,PLAN_CHANGE,test_user,"Basic -> Standard, amount=354.84",2025-12-20T09:33:31.376785
LOG003,cancel_user,CANCELLATION,cancel_user,"type=immediate, reason=cost",2025-12-20T09:33:31.377863
LOG004,test_user,PLAN_CHANGE,test_user,"Basic -> Standard, amount=354.84",2025-12-20T09:46:16.347592
LOG005,cancel_user,CANCELLATION,cancel_user,"type=immediate, reason=cost",2025-12-20T09:46:16.348859
LOG006,SYSTEM,customer_delete,,"batch_delete for user=expired_user, count=0",2025-12-20T09:46:40.699301
LOG007,SYSTEM,ACCOUNT_CLEANUP,expired_user,,2025-12-20T09:46:40.699495
LOG008,SYSTEM,DATA_ANALYSIS,CUST001,Analysis completed with accuracy 0.8534,2025-12-20T10:00:15.595624
LOG009,SYSTEM,DATA_ANALYSIS,CUST999,Analysis completed with accuracy 0.8778,2025-12-20T10:00:15.596755
LOG010,SYSTEM,DATA_ANALYSIS,CUST001,Analysis completed with accuracy 0.8679,2025-12-20T10:00:28.946404
LOG011,SYSTEM,DATA_ANALYSIS,CUST999,Analysis completed with accuracy 0.913,2025-12-20T10:00:28.949910
LOG012,SYSTEM,DATA_ANALYSIS,CUST001,Analysis completed with accuracy 0.8624,2025-12-20T10:00:43.027550
LOG013,SYSTEM,DATA_ANALYSIS,CUST999,Analysis completed with accuracy 0.8747,2025-12-20T10:00:43.028628
LOG014,SYSTEM,DATA_ANALYSIS,CUST001,Analysis completed with accuracy 0.8503,2025-12-20T10:04:17.445644
LOG015,SYSTEM,DATA_ANALYSIS,CUST999,Analysis completed with accuracy 0.9086,2025-12-20T10:04:17.446834
LOG016,test_user,PLAN_CHANGE,test_user,"Basic -> Standard, amount=354.84",2025-12-20T10:08:20.515159
LOG017,cancel_user,CANCELLATION,cancel_user,"type=immediate, reason=cost",2025-12-20T10:08:20.516243
LOG018,SYSTEM,customer_delete,,"batch_delete for user=expired_user, count=0",2025-12-20T10:08:20.520312
LOG019,SYSTEM,ACCOUNT_CLEANUP,expired_user,,2025-12-20T10:08:20.520493
LOG020,SYSTEM,DATA_ANALYSIS,CUST001,Analysis completed with accuracy 0.8874,2025-12-20T10:08:20.521932
LOG021,SYSTEM,DATA_ANALYSIS,CUST999,Analysis completed with accuracy 0.9361,2025-12-20T10:08:20.522755
